Sun Nov 27 19:55:08 2016 : 0, occupied; 
Sun Nov 27 19:55:17 2016 : 0, occupied; 
Mon Nov 28 15:05:17 2016 : 
Mon Nov 28 21:06:35 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:06:45 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:06:55 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:07:05 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:07:15 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:07:25 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:07:35 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:07:45 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:07:55 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:08:05 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:08:15 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:08:25 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:08:35 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:08:45 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:08:55 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:09:05 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:09:15 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:09:25 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:09:35 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:09:46 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:09:56 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:10:06 2016 : 0, occupied; 1, occupied; 2, occupied; 
